time,T_flow_out,bypass_fraction,h,mass_flow_out,max_Tf,plenum_fraction,power,pressure_drop
0,900,0,0,4064.996438599,0,0,220834640,0
1,899.02489731177,0.0012637607245777,0.13530093377871,976.0000011351,900.0000154417,0.86032706114394,220834640,-215476.82566743
3,896.55148430146,0.0018750777077635,0.13530093377871,976.00000112754,900.00000006953,0.91029011309611,220834640,-209755.05193276
5,893.77915522599,0.011532931032221,0.13530093377871,976.00000112753,900.00000018873,0.91574556156259,220834640,-186965.61735116
7,891.83071388791,0.018539864209221,0.13530093377871,976.0000011124,899.99999998883,0.91158574982354,220834640,-181030.57465696
11,891.33563923576,0.071974632040449,0.13530093377871,976.00000112743,900.41289978295,0.86779611393744,220834640,-165742.03951657
19,898.33796196948,0.071128607157755,0.13530093377871,976.00000112754,937.55578115411,0.86558076112425,220834640,-165218.54191856
35,915.71345490892,0.067706847973626,0.13530093377871,976.00000112754,998.69343572549,0.8638662107123,220834640,-164677.3128036
67,933.00755985181,0.065123146963396,0.13530093377871,976.00000112754,1065.8164449477,0.86101759970103,220834640,-164358.87666576
131,940.37226449028,0.064157470255421,0.13530093377871,976.00000112754,1098.3138123742,0.85935530608187,220834640,-164264.26967567
259,941.84573485254,0.063999537364106,0.13530093377871,976.00000112754,1105.7232473664,0.85893837287025,220834640,-164250.37816629
515,942.05750771812,0.063987296788439,0.13530093377871,976.00000112754,1107.215266707,0.85886578734578,220834640,-164248.59100181
1027,942.17118116183,0.063987803032543,0.13530093377871,976.00000112754,1108.4020027365,0.85882085848861,220834640,-164247.43201998
time,T_flow_out,bypass_fraction,h,mass_flow_out,max_Tf,plenum_fraction,power,pressure_drop
0,900,0,0,4064.996438599,0,0,220834640,0
1,898.99139821168,0.0012640058241918,0.13530093377871,976.00000113496,900.00001546347,0.86043824499333,220834640,-215584.1422546
3,896.37609231047,0.0018777550015004,0.13530093377871,976.00000112754,900.00000006942,0.91063572393418,220834640,-209983.55143507
5,893.31618418956,0.011543121657512,0.13530093377871,976.00000112673,900.00000017859,0.91643427703202,220834640,-187152.21545629
7,891.05798657002,0.018531567310602,0.13530093377871,976.00000111736,899.9999999884,0.91267971831426,220834640,-181221.15034671
11,889.65190824075,0.071694357348134,0.13530093377871,976.00000112752,915.06790921284,0.87025182707626,220834640,-165891.27570098
19,895.14731364909,0.070154873458991,0.13530093377871,976.00000112754,948.55095173503,0.87012660558431,220834640,-165372.85463827
35,909.72818754221,0.06591658944977,0.13530093377871,976.00000112754,989.50463849049,0.87061728338739,220834640,-164863.67073753
67,924.38801489627,0.063018544702114,0.13530093377871,976.00000112754,1017.9247695035,0.86887033614422,220834640,-164574.9930086
131,930.75272298186,0.062038196098171,0.13530093377871,976.00000112754,1027.853663991,0.86742572999774,220834640,-164490.65203997
259,932.07009754904,0.061887456681549,0.13530093377871,976.00000112754,1030.3775025679,0.86702099771561,220834640,-164478.29849148
515,932.26206842049,0.061876554687879,0.13530093377871,976.00000112754,1031.2560114697,0.8669509217657,220834640,-164476.68407963
1027,932.36126959099,0.06187735476154,0.13530093377871,976.00000112754,1031.7934116024,0.86691095511036,220834640,-164475.62482732
time,T_flow_out,bypass_fraction,h,mass_flow_out,max_Tf,plenum_fraction,power,pressure_drop
0,900,0,0,4064.996438599,0,0,220834640,0
1,898.99038775028,0.0012640061450881,0.13530093377871,976.00000113512,900.00001548699,0.86044634518391,220834640,-215578.61196055
3,896.3612289654,0.001877891448226,0.13530093377871,976.00000112754,900.00000006924,0.91066239333083,220834640,-209970.14868893
5,893.26928117608,0.01154721293191,0.13530093377871,976.00000112748,900.00000017838,0.91647278239677,220834640,-187140.66252629
7,890.96048448097,0.018546136931231,0.13530093377871,976.00000112964,899.9999999883,0.91272439882127,220834640,-181208.30147802
11,889.40506087833,0.071773070953981,0.13530093377871,976.0000011276,915.01548090221,0.8702790830263,220834640,-165878.05018459
19,894.59233061581,0.070208927876056,0.13530093377871,976.00000112754,948.29663825386,0.87029554812382,220834640,-165351.34180352
35,908.93824438898,0.065858830977527,0.13530093377871,976.00000112754,989.45733730742,0.87101261092177,220834640,-164831.29590905
67,923.72290379906,0.062906960083628,0.13530093377871,976.00000112754,1017.3605754026,0.86931649971708,220834640,-164536.02224876
131,930.25250745522,0.061927408060304,0.13530093377871,976.00000112754,1027.1972189922,0.867830539291,220834640,-164449.8183693
259,931.61514382163,0.061779542110469,0.13530093377871,976.00000112754,1028.776898269,0.86740941125986,220834640,-164437.21400965
515,931.81174615264,0.061769031967971,0.13530093377871,976.00000112754,1028.9008780043,0.86733750225484,220834640,-164435.5809839
1027,931.91092264101,0.061769874423242,0.13530093377871,976.00000112754,1028.9274601188,0.86729753490186,220834640,-164434.51759119
time,T_flow_out,bypass_fraction,h,mass_flow_out,max_Tf,plenum_fraction,power,pressure_drop
0,900,0,0,4064.996438599,0,0,220834640,0
1,898.99045051305,0.0012640052291524,0.13530093377871,976.00000113513,900.00001547145,0.86044534451685,220834640,-215577.52502919
3,896.36066544524,0.0018778997188362,0.13530093377871,976.00000112754,900.00000006946,0.91065879407649,220834640,-209967.64177402
5,893.26684553179,0.011547916767114,0.13530093377871,976.0000011275,900.00000017862,0.91646507974743,220834640,-187138.71289996
7,890.95501068551,0.018548637871257,0.13530093377871,976.0000011199,899.9999999883,0.91271030245329,220834640,-181206.26970978
11,889.39446097431,0.071789533013492,0.13530093377871,976.00000112735,914.60906930593,0.8702393421531,220834640,-165876.24128234
19,894.5863114936,0.070237981672122,0.13530093377871,976.00000112754,947.90365652171,0.87022602790809,220834640,-165348.53482078
35,908.9764199846,0.065892218832212,0.13530093377871,976.00000112754,989.14589530219,0.87092151336373,220834640,-164826.84765751
67,923.82282066408,0.062938896807455,0.13530093377871,976.00000112754,1017.2402992076,0.86921260664157,220834640,-164530.48326694
131,930.38150221783,0.061958374982812,0.13530093377871,976.00000112754,1027.2385072057,0.86772137315037,220834640,-164443.96609048
259,931.74950358923,0.061810337959527,0.13530093377871,976.00000112754,1028.8243270402,0.8672992796753,220834640,-164431.32171357
515,931.94664853373,0.061799810279791,0.13530093377871,976.00000112754,1029.1622521348,0.86722724533418,220834640,-164429.68570413
1027,932.04603666507,0.061800649034394,0.13530093377871,976.00000112754,1029.6398615913,0.86718719910961,220834640,-164428.621327
time,T_flow_out,bypass_fraction,h,mass_flow_out,max_Tf,plenum_fraction,power,pressure_drop
0,900,0,0,4064.996438599,0,0,220834640,0
1,898.99045051153,0.00126400522909,0.13530093377871,976.00000113492,900.0000154972,0.86044534452019,220834640,-215577.52502946
3,896.36066544546,0.0018778997188197,0.13530093377871,976.00000112754,900.00000007009,0.91065879407666,220834640,-209967.64177415
5,893.26684553121,0.011547916767317,0.13530093377871,976.00000112748,900.00000017862,0.9164650797471,220834640,-187138.71289997
7,890.9550106847,0.018548637871441,0.13530093377871,976.00000112471,899.9999999883,0.9127103024533,220834640,-181206.2697098
11,889.39446097337,0.071789533013564,0.13530093377871,976.00000112756,914.60906930662,0.87023934215327,220834640,-165876.24128235
19,894.58631149353,0.070237981672264,0.13530093377871,976.00000112754,947.90365652178,0.87022602790811,220834640,-165348.53482078
35,908.97641998463,0.065892218832234,0.13530093377871,976.00000112754,989.14589530223,0.87092151336378,220834640,-164826.84765751
67,923.82282066408,0.06293889680745,0.13530093377871,976.00000112754,1017.2402992076,0.86921260664159,220834640,-164530.48326694
131,930.38150221783,0.061958374982813,0.13530093377871,976.00000112754,1027.2385072057,0.86772137315038,220834640,-164443.96609048
259,931.74950358923,0.06181033795952,0.13530093377871,976.00000112754,1028.8243270402,0.8672992796753,220834640,-164431.32171357
515,931.94664853373,0.061799810279795,0.13530093377871,976.00000112754,1029.1622521348,0.86722724533419,220834640,-164429.68570413
1027,932.04603666507,0.061800649034396,0.13530093377871,976.00000112754,1029.6398615913,0.86718719910961,220834640,-164428.621327
